,Family and Type,File,Quantity,Category
127,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.483,1
128,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.471,1
129,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.54,1
130,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.679,1
131,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.632,1
132,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,2.301,1
133,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,1.368,1
134,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.479,1
135,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.504,1
136,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.484,1
137,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,1.668,1
138,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.655,1
139,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.639,1
140,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.679,1
141,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.918,1
142,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.465,1
143,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,1.19,1
144,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.723,1
145,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,2.635,1
146,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.776,1
147,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,3.476,1
148,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,3.964,1
149,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.644,1
150,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,4.452,1
151,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,1.792,1
152,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.7,1
153,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.808,1
154,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.809,1
155,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.633,1
156,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.761,1
157,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,1.73,1
158,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.905,1
159,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,1.126,1
160,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,2.918,1
161,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,5.081,1
162,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,1.314,1
163,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,1.613,1
164,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,5.439,1
165,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,5.936,1
166,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,1.045,1
167,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,1.148,1
168,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,1.251,1
169,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,3.854,1
170,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,1.399,1
171,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,1.337,1
172,M_Rectangular Offset - Plain - Flanged: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.12,1
173,M_Rectangular Offset - Plain - Flanged: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.142,1
174,M_Rectangular Offset - Plain - Flanged: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.36,1
175,M_Rectangular Offset - Plain - Flanged: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.229,1
176,M_Rectangular Offset - Plain - Flanged: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.175,1
177,M_Rectangular Offset - Plain - Flanged: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.082,1
179,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,2.209,3
180,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,1.767,3
182,Grille Plenum Box Rectangular Duct With Split: Grille Plenum Box Rectangular Duct With Split,Duct Fitting Schedule Low Pressure Insulated Rect.csv,2.309,1
183,Grille Plenum Box Rectangular Duct With Split: Grille Plenum Box Rectangular Duct With Split,Duct Fitting Schedule Low Pressure Insulated Rect.csv,1.644,1
184,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.336,3
185,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.336,3
186,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.848,3
187,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.948,3
188,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,1.59,3
189,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,2.168,3
190,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,2.45,3
191,M-H Flange Rectangular Takeoff: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.74,3
192,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.679,1
193,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,1.008,3
194,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,4.856,3
195,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,1.099,1
196,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,1.367,1
197,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,1.865,3
198,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,1.131,1
199,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,2.359,1
200,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,1.262,1
201,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,1.106,1
202,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,1.197,1
203,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,2.479,1
204,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,3.894,1
205,Plenum_Box_Supply Unit_Rect Ducts: Plenum_Box_Supply Unit_Rect Ducts,Duct Fitting Schedule Low Pressure Insulated Rect.csv,1.948,1
206,Plenum_Box_Supply Unit_Rect Ducts: Plenum_Box_Supply Unit_Rect Ducts,Duct Fitting Schedule Low Pressure Insulated Rect.csv,1.921,1
208,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,7.917,4
209,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,4.879,4
